Date,SGD_GDP_Billions,USD_GDP_Billions,Singapore,USA,SG_Interest_Rate,US_Interest_Rate,SP500,STI,ExchangeRate,Daily Exports(millions),Daily Imports(millions),Daily Balance(millions),FOREIGN RESERVES (US$ MILLION),GoldPrice,DXI
2010-04-06,81.21094444,14989.16044,2.36,1.46,0.07,0.2,1189.4,2975.51001,1.396,76.26,46.36666666666667,29.89333333333333,202590.01666666663,1136.0,81.07
2010-04-07,81.21845333,14990.95393,2.36,1.46,0.07,0.2,1182.5,2988.100098,1.3961,76.26,46.36666666666667,29.89333333333333,202420.76,1153.0,81.32
2010-04-08,81.22596222,14992.74742,2.36,1.46,0.07,0.2,1186.4,2963.189941,1.3947,76.26,46.36666666666667,29.89333333333333,202251.50333333333,1152.9,81.639999
2010-04-09,81.23347111,14994.54091,2.36,1.46,0.07,0.2,1194.4,2971.969971,1.3899,76.26,46.36666666666667,29.89333333333333,202082.24666666667,1161.9,81.489998
2010-04-12,81.25599778,14999.92138,2.36,1.46,0.07,0.2,1196.5,2977.169922,1.3915,76.26,46.36666666666667,29.89333333333333,201574.47666666663,1162.2,80.360001
2010-04-13,81.26350667,15001.71487,2.36,1.46,0.07,0.2,1197.3,2971.600098,1.387,76.26,46.36666666666667,29.89333333333333,201405.22,1153.4,80.540001
2010-04-14,81.27101556,15003.50836,2.36,1.46,0.07,0.2,1210.7,3019.73999,1.374,76.26,46.36666666666667,29.89333333333333,201235.9633333333,1159.6,80.419998
2010-04-15,81.27852444,15005.30184,2.36,1.46,0.07,0.2,1211.7,3016.939941,1.3745,76.26,46.36666666666667,29.89333333333333,201066.7066666667,1160.3,80.190002
2010-04-16,81.28603333,15007.09533,2.36,1.46,0.07,0.2,1192.1,3007.189941,1.3758,76.26,46.36666666666667,29.89333333333333,200897.45,1136.9,80.519997
2010-04-19,81.30856,15012.4758,2.36,1.46,0.07,0.2,1197.5,2960.929932,1.3773,76.26,46.36666666666667,29.89333333333333,200389.68,1135.8,80.900002
2010-04-20,81.31606889,15014.26929,2.36,1.46,0.07,0.2,1207.2,2981.370117,1.3751,76.26,46.36666666666667,29.89333333333333,200220.4233333333,1139.2,80.919998
2010-04-21,81.32357778,15016.06278,2.36,1.46,0.07,0.2,1205.9,2967.649902,1.3729,76.26,46.36666666666667,29.89333333333333,200051.16666666663,1148.8,81.120003
2010-04-22,81.33108667,15017.85627,2.36,1.46,0.07,0.2,1208.7,2980.689941,1.3742,76.26,46.36666666666667,29.89333333333333,199881.91,1142.9,81.230003
2010-04-23,81.33859556,15019.64976,2.36,1.46,0.07,0.2,1217.3,2988.48999,1.3705,76.26,46.36666666666667,29.89333333333333,199712.6533333333,1153.7,82.019997
2010-04-26,81.36112222,15025.03022,2.36,1.46,0.07,0.2,1212.0,3002.620117,1.3669,76.26,46.36666666666667,29.89333333333333,199204.88333333333,1154.0,81.470001
2010-04-27,81.36863111,15026.82371,2.36,1.46,0.07,0.2,1183.7,2991.679932,1.3744,76.26,46.36666666666667,29.89333333333333,199035.62666666668,1162.2,81.18
